,Estacion,Year,Mes,Valor_prom
602,GACHANTIVA [24010810],1970,3,
603,GACHANTIVA [24010810],1970,4,
604,GACHANTIVA [24010810],1970,5,
605,GACHANTIVA [24010810],1970,6,
606,GACHANTIVA [24010810],1970,7,
607,GACHANTIVA [24010810],1970,8,
608,GACHANTIVA [24010810],1970,9,
609,GACHANTIVA [24010810],1970,10,
610,GACHANTIVA [24010810],1970,11,
611,GACHANTIVA [24010810],1970,12,
612,GACHANTIVA [24010810],1971,1,
613,GACHANTIVA [24010810],1971,2,
614,GACHANTIVA [24010810],1971,3,
615,GACHANTIVA [24010810],1971,4,
616,GACHANTIVA [24010810],1971,5,
617,GACHANTIVA [24010810],1971,6,
618,GACHANTIVA [24010810],1971,7,
619,GACHANTIVA [24010810],1971,8,
620,GACHANTIVA [24010810],1971,9,
621,GACHANTIVA [24010810],1971,10,
622,GACHANTIVA [24010810],1971,11,
623,GACHANTIVA [24010810],1971,12,
624,GACHANTIVA [24010810],1972,1,
625,GACHANTIVA [24010810],1972,2,
626,GACHANTIVA [24010810],1972,3,
627,GACHANTIVA [24010810],1972,4,
628,GACHANTIVA [24010810],1972,5,
629,GACHANTIVA [24010810],1972,6,
630,GACHANTIVA [24010810],1972,7,
631,GACHANTIVA [24010810],1972,8,
632,GACHANTIVA [24010810],1972,9,
633,GACHANTIVA [24010810],1972,10,
634,GACHANTIVA [24010810],1972,11,
635,GACHANTIVA [24010810],1972,12,
636,GACHANTIVA [24010810],1973,1,
637,GACHANTIVA [24010810],1973,2,
638,GACHANTIVA [24010810],1973,3,
639,GACHANTIVA [24010810],1973,4,
640,GACHANTIVA [24010810],1973,5,
641,GACHANTIVA [24010810],1973,6,
642,GACHANTIVA [24010810],1973,7,
643,GACHANTIVA [24010810],1973,8,
644,GACHANTIVA [24010810],1973,9,
645,GACHANTIVA [24010810],1973,10,
646,GACHANTIVA [24010810],1973,11,
647,GACHANTIVA [24010810],1973,12,
648,GACHANTIVA [24010810],1974,1,
649,GACHANTIVA [24010810],1974,2,
650,GACHANTIVA [24010810],1974,3,
651,GACHANTIVA [24010810],1974,4,
652,GACHANTIVA [24010810],1974,5,
653,GACHANTIVA [24010810],1974,6,
654,GACHANTIVA [24010810],1974,7,
655,GACHANTIVA [24010810],1974,8,
656,GACHANTIVA [24010810],1974,9,
657,GACHANTIVA [24010810],1974,10,
658,GACHANTIVA [24010810],1974,11,
659,GACHANTIVA [24010810],1974,12,
660,GACHANTIVA [24010810],1975,1,
661,GACHANTIVA [24010810],1975,2,
662,GACHANTIVA [24010810],1975,3,
663,GACHANTIVA [24010810],1975,4,
664,GACHANTIVA [24010810],1975,5,
665,GACHANTIVA [24010810],1975,6,
666,GACHANTIVA [24010810],1975,7,
667,GACHANTIVA [24010810],1975,8,
668,GACHANTIVA [24010810],1975,9,
669,GACHANTIVA [24010810],1975,10,
670,GACHANTIVA [24010810],1975,11,
671,GACHANTIVA [24010810],1975,12,
672,GACHANTIVA [24010810],1976,1,
673,GACHANTIVA [24010810],1976,2,
674,GACHANTIVA [24010810],1976,3,
675,GACHANTIVA [24010810],1976,4,
676,GACHANTIVA [24010810],1976,5,
677,GACHANTIVA [24010810],1976,6,
678,GACHANTIVA [24010810],1976,7,
679,GACHANTIVA [24010810],1976,8,
680,GACHANTIVA [24010810],1976,9,
681,GACHANTIVA [24010810],1976,10,
682,GACHANTIVA [24010810],1976,11,
683,GACHANTIVA [24010810],1976,12,
684,GACHANTIVA [24010810],1977,1,
685,GACHANTIVA [24010810],1977,2,
686,GACHANTIVA [24010810],1977,3,
687,GACHANTIVA [24010810],1977,4,
688,GACHANTIVA [24010810],1977,5,
689,GACHANTIVA [24010810],1977,6,
690,GACHANTIVA [24010810],1977,7,
691,GACHANTIVA [24010810],1977,8,
692,GACHANTIVA [24010810],1977,9,
693,GACHANTIVA [24010810],1977,10,
694,GACHANTIVA [24010810],1977,11,
695,GACHANTIVA [24010810],1977,12,
696,GACHANTIVA [24010810],1978,1,
697,GACHANTIVA [24010810],1978,2,
698,GACHANTIVA [24010810],1978,3,
699,GACHANTIVA [24010810],1978,4,
700,GACHANTIVA [24010810],1978,5,
701,GACHANTIVA [24010810],1978,6,
702,GACHANTIVA [24010810],1978,7,
703,GACHANTIVA [24010810],1978,8,
704,GACHANTIVA [24010810],1978,9,
705,GACHANTIVA [24010810],1978,10,
